t (s),V (mV)
0,24.0686
1,23.9727
2,23.8749
3,23.7762
3.999,23.6775
5,23.5777
5.999,23.4794
6.999,23.3802
8,23.2796
9,23.1827
9.999,23.0842
11,22.9854
12,22.8886
12.999,22.7925
13.999,22.6941
15,22.6001
16,22.5036
17,22.4086
18,22.3148
18.999,22.22
19.999,22.1279
21,22.0352
21.999,21.9416
22.999,21.8502
24,21.7587
25,21.6688
26,21.5776
26.999,21.4866
27.999,21.3957
29,21.3066
29.999,21.2174
31,21.1283
32,21.0392
33,20.9519
34,20.8642
35,20.7774
35.999,20.6906
36.999,20.6046
38,20.5178
38.999,20.432
39.999,20.347
41,20.2609
41.999,20.1767
42.999,20.0928
44,20.0095
44.999,19.9265
46,19.8438
46.999,19.7607
47.999,19.6803
49,19.5985
50,19.517
51,19.4369
52,19.3572
53,19.2766
53.999,19.1972
55,19.1183
56,19.0402
56.999,18.9619
58,18.8837
58.999,18.8059
60,18.7295
61,18.6524
61.999,18.5765
62.999,18.5009
64,18.425
65,18.3494
65.999,18.2748
66.999,18.2001
68,18.1253
68.999,18.0517
70,17.979
71,17.9053
72,17.8328
72.999,17.7603
73.999,17.6878
75,17.6163
76,17.5457
76.999,17.4739
78,17.4032
78.999,17.3329
79.999,17.2634
81,17.1936
81.999,17.1239
82.999,17.0555
84,16.9863
85,16.9185
85.999,16.8497
87,16.7826
87.999,16.7149
89,16.6485
89.999,16.581
90.999,16.5148
92,16.4482
93,16.3824
94,16.3172
94.999,16.251
95.999,16.1879
96.999,16.1218
98,16.0583
99,15.9941
99.999,15.9307
101,15.8664
102,15.8032
102.999,15.7395
104,15.6776
104.999,15.6153
105.999,15.5544
107,15.4924
108,15.43
109,15.3695
109.999,15.3086
111,15.2477
111.999,15.1869
113,15.127
114,15.0681
114.999,15.0081
116,14.9497
116.999,14.891
117.999,14.8339
119,14.7734
119.999,14.7159
121,14.6589
121.999,14.6009
122.999,14.5442
124,14.4878
124.999,14.4306
125.999,14.3752
126.999,14.3182
128,14.2626
128.999,14.2066
130,14.1515
130.999,14.0969
131.999,14.0415
133,13.9866
133.999,13.932
135,13.8775
135.999,13.8234
136.999,13.7697
138,13.7156
138.999,13.6619
140,13.6081
140.999,13.556
142,13.5034
142.999,13.4504
144,13.3986
144.999,13.3461
145.999,13.2942
147,13.2431
147.999,13.1912
149,13.1407
149.999,13.0894
151,13.0386
151.999,12.9891
153,12.938
154,12.8882
154.999,12.838
155.999,12.789
156.999,12.7397
157.999,12.6912
159,12.6421
160,12.5947
160.999,12.5458
162,12.4983
163,12.4504
164,12.4032
164.999,12.356
165.999,12.3085
166.999,12.2623
167.999,12.2165
169,12.1699
170,12.1232
170.999,12.0782
171.999,12.0322
173,11.9863
174,11.9408
174.999,11.8956
